,,,,,,
,,Kauf,Verkauf,Gewinn,,
,,,,,,
,,"27.693,88 €","40.389,00 €","12.695,12 €",,
,,,,,,
,,,,,,
Gameboy Set,,"100,00 €",,,,
Gameboy Color + 4 games,,"0,00 €","65,00 €",,,
Gameboy Classic,,"0,00 €","65,00 €",,,
Gameboy Box,,"0,00 €",,,, 
,,,,,,
Addon Six,,"35,00 €","70,00 €",,,
,,,,,,
T150,,"50,00 €","100,00 €",,,
,,,,,,
Switch + 3 games,,"200,00 €","200,00 €",,,
Pokemon,,"0,00 €","20,00 €",,,
Smash Bros,,"0,00 €","30,00 €",,,
Switch Tasche,,"0,00 €",,,,
,,,,,,
Switch CFW,,"110,00 €","200,00 €",,,
Switch Tasche,,"0,00 €",,,,
,,,,,,
Canon 700D,,"200,00 €","200,00 €",,,
Tripod,,"0,00 €",,,,
Sigma 28-300mm lens,,"0,00 €","60,00 €",,,
,,,,,,
(Broken) Switch,,"80,00 €",,,,
,,,,,,
3 Switch games,,"25,00 €",,,,
MarioKart 8,,"0,00 €","40,00 €",,,
Starlink,,"0,00 €","7,50 €",,,
Pokemon Eevee,,"0,00 €","30,00 €",,,
,,,,,,
Switch + 7 games,,"300,00 €",,,,
Fifa 21,,"0,00 €","7,50 €",,,
Zelda BOTW,,"0,00 €","40,00 €",,,
Pokemon Shield,,"0,00 €","28,00 €",,,
Mario Maker 2,,"0,00 €","30,00 €",,,
Animal Crossing,,"0,00 €","25,00 €",,,
Family Trainer ,,"0,00 €","30,00 €",,,
Mario Kart 8,,"0,00 €","40,00 €",,,
Switch console,,"0,00 €","200,00 €",,,
,,,,,,
Sony RX100II,,"90,00 €","150,00 €",,,
,,,,,,
T300RS + Wheelstand Pro,,"100,00 €","190,00 €",,,
,,,,,,
Canon G9X,,"100,00 €","155,00 €",,,
,,,,,,
Thrustmaster TMX + LP3PA,,"40,00 €","150,00 €",,,
,,,,,,
Canon 80D,,"450,00 €","370,00 €",,,
Canon 50mm 1.4 USM,,,"180,00 €",,,
Canon 24mm 2.8 Pancake,,,"100,00 €",,,
,,,,,,
Xiaomi Smart Mi Scooter Pro 2,,"230,00 €","280,00 €",,,
,,,,,,
Canon 650D + G7XII set,,"374,00 €",,,,
G7XII,,,,,,
Canon 650D + 18-55mm Kit lens,,,"240,00 €",,,
70-300mm Sigma lens,,,"55,00 €",,,
,,,,,,
Canon 5D Mark II + 50mm 1.4,,"250,00 €",,,,
Canon 5D Mark II camera (SC 101000),,,"170,00 €",,,
Canon 50mm 1.4 USM lens,,,"180,00 €",,,
Replacement parts order,,"20,00 €",,,,
,,,,,,
Canon 1000D + 3 lenses + bag,,"130,00 €",,,,
